*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=cascade_trigger_01
*Date=17:18:37
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
331;;;122.25;-54.4026;0;Bottom;Copper Fill112
332;;;32.9693;-45.2713;0;Bottom;Copper Fill258
333;;;60.5537;-8.68256;0;Bottom;Copper Fill224
334;;;57.1036;-2.7039;180;Bottom;T1_14
335;;;34.2266;-28.1771;0;Bottom;Copper Fill312
336;;;10.4141;-75.9927;0;Bottom;Copper Fill329
337;;;78.6131;-59.5461;0;Bottom;Copper Fill55
338;;;139.586;-71.2556;0;Bottom;Copper Fill385
339;;;107.493;-30.8695;0;Bottom;Copper Fill271
340;;;66.5227;-35.7209;0;Bottom;Copper Fill71
341;;;16.4466;-82.0252;0;Bottom;Copper Fill350
342;;;10.4141;-81.0727;0;Bottom;Copper Fill151
343;;;22.7966;-76.9452;0;Bottom;Copper Fill331
344;4.7µF;100 mil [THT, electrolytic];134.583;-20.0615;90;Bottom;100µF5
345;;;2.8956;-18.8426;0;Bottom;Copper Fill452
346;;;104.115;-39.1499;0;Bottom;Copper Fill68
347;;;93.9293;-82.2284;0;Bottom;Copper Fill8
348;;;140.538;-60.7526;0;Bottom;Copper Fill294
349;;;41.9863;-67.0391;0;Bottom;Copper Fill34
350;;;142.875;-36.6226;0;Bottom;Copper Fill438
351;;;41.8466;-51.4943;0;Bottom;Copper Fill205
352;;DIP (Dual Inline) [THT];111.723;-17.5215;180;Bottom;termin 5
353;;;32.5121;-68.3726;0;Bottom;Copper Fill188
354;;;6.604;-3.65336;0;Bottom;Copper Fill493
355;56;THT;29.1734;-37.8415;-90;Bottom;R LED 8
356;;;123.927;-44.2426;0;Bottom;Copper Fill140
357;;;11.6841;-8.68256;0;Bottom;Copper Fill501
358;;;143.802;-24.8751;0;Bottom;Copper Fill408
359;;;91.3385;-64.4991;0;Bottom;Copper Fill246
360;;;27.8766;-82.0252;0;Bottom;Copper Fill152
361;;;21.8441;-75.9927;0;Bottom;Copper Fill332
362;;DIP (Dual Inline) [THT];132.05;-67.0582;0;Bottom;termin 4
363;;;145.57;-69.5746;90;Bottom;trig_in_3
